GameID,Turn,Player,Action,Target,Success,Challenged,Blocked
69,8,0,Coup,1,Yes,No,No
69,9,1,Steal,0,No,Yes,No
71,0,0,Exchange,-,No,Yes,No
71,1,1,Tax,-,Yes,No,No
71,2,0,Tax,-,Yes,No,No
71,3,1,Foreign Aid,-,Yes,No,No
72,0,0,Exchange,-,Yes,No,No
72,1,1,Income,-,Yes,No,No
72,2,0,Exchange,-,Yes,No,No
72,3,1,Exchange,-,Yes,Yes,No
72,4,0,Exchange,-,Yes,Yes,No
72,5,1,Exchange,-,No,Yes,No
72,6,0,Exchange,-,Yes,Yes,No
41,0,0,Tax,-,Yes,Yes,No
41,1,1,Exchange,-,Yes,No,No
41,2,0,Assassinate,1,No,No,No
74,0,0,Income,-,Yes,No,No
74,1,1,Exchange,-,No,Yes,No
74,2,0,Foreign Aid,-,Yes,No,No
73,0,0,Foreign Aid,-,Yes,No,No
73,1,1,Exchange,-,Yes,No,No
73,2,0,Foreign Aid,-,Yes,No,No
73,3,1,Income,-,Yes,No,No
73,4,0,Assassinate,1,No,Yes,No
73,5,1,Assassinate,0,No,Yes,No
75,0,0,Steal,1,No,Yes,No
76,0,0,Income,-,Yes,No,No
76,1,1,Exchange,-,No,Yes,No
76,2,0,Foreign Aid,-,Yes,No,No
77,0,0,Exchange,-,Yes,No,No
77,1,1,Steal,0,No,Yes,No
77,2,0,Tax,-,Yes,No,No
77,3,1,Income,-,Yes,No,No
77,4,0,Foreign Aid,-,Yes,No,No
77,5,1,Assassinate,0,Yes,Yes,No
78,0,0,Steal,1,No,Yes,No
78,1,1,Foreign Aid,-,Yes,No,No
78,2,0,Foreign Aid,-,No,No,1
79,0,0,Exchange,-,Yes,No,No
79,1,1,Steal,0,No,Yes,No
79,2,0,Tax,-,Yes,No,No
79,3,1,Income,-,Yes,No,No
79,4,0,Foreign Aid,-,Yes,No,No
79,5,1,Assassinate,0,Yes,Yes,No
81,0,0,Steal,1,No,No,1
81,1,1,Exchange,-,No,Yes,No
81,2,0,Steal,1,No,No,1
82,0,0,Exchange,-,No,Yes,No
82,1,1,Tax,-,No,Yes,No
82,2,0,Foreign Aid,-,Yes,No,No
80,0,0,Tax,-,No,Yes,No
80,1,1,Income,-,Yes,No,No
80,2,0,Income,-,Yes,No,No
80,3,1,Foreign Aid,-,No,No,0
80,4,0,Exchange,-,Yes,No,No
80,5,1,Assassinate,0,No,No,No
83,0,0,Tax,-,Yes,No,No
83,1,1,Foreign Aid,-,No,No,0
83,2,0,Steal,1,No,Yes,No
83,3,1,Income,-,Yes,No,No
83,4,0,Assassinate,1,No,Yes,No
83,5,1,Assassinate,0,No,Yes,No
84,0,0,Exchange,-,No,Yes,No
84,1,1,Tax,-,No,Yes,No
84,2,0,Foreign Aid,-,Yes,No,No
85,0,0,Tax,-,Yes,No,No
85,1,1,Foreign Aid,-,No,No,0
85,2,0,Steal,1,No,Yes,No
85,3,1,Income,-,Yes,No,No
85,4,0,Assassinate,1,No,Yes,No
85,5,1,Assassinate,0,No,Yes,No
